complaint_id,crime_type,city,state,latitude,longitude,amount,complaint_hour,day_of_week,complaint_date,withdrawal_location,withdrawal_city,withdrawal_lat,withdrawal_lon,withdrawal_hour,distance_km,withdrawal_occurred
C00020,Phishing,Mumbai,Maharashtra,19.076,72.8777,27717,22,Friday,2026-07-17,CSC-MUM-05,Mumbai,19.134589,72.891552,1,16.68,1
C00021,Investment Fraud,Patna,Bihar,25.5941,85.1376,113477,11,Monday,2026-07-06,ATM-PAT-01,Patna,25.623198,85.075842,14,13.04,1
C00022,SIM Swap Fraud,Delhi,Delhi,28.6139,77.209,33783,10,Wednesday,2026-06-17,ATM-DEL-04,Delhi,28.658952,77.251706,15,12.29,0
C00023,Job Scam,Bengaluru,Karnataka,12.9716,77.5946,46684,15,Monday,2026-07-27,CSC-BEN-05,Bengaluru,12.924718,77.598474,18,11.04,1
C00024,KYC Update Fraud,Lucknow,Uttar Pradesh,26.8467,80.9462,76922,14,Monday,2026-04-20,BANK-LUC-03,Lucknow,26.884304,80.923825,20,1.95,0
C00025,Job Scam,Chandigarh,Chandigarh,30.7333,76.7794,130247,21,Sunday,2026-04-26,BANK-CHA-04,Chandigarh,30.713038,76.803225,22,7.64,1
C00026,SIM Swap Fraud,Chandigarh,Chandigarh,30.7333,76.7794,112197,10,Friday,2026-09-11,CSC-CHA-06,Chandigarh,30.752197,76.78418,16,9.47,1
C00027,Phishing,Chandigarh,Chandigarh,30.7333,76.7794,79599,1,Saturday,2026-08-22,BANK-CHA-03,Chandigarh,30.752296,76.760477,7,17.12,0
C00028,SIM Swap Fraud,Bengaluru,Karnataka,12.9716,77.5946,57437,22,Monday,2026-08-17,ATM-BEN-03,Bengaluru,13.038518,77.599179,2,13.85,1
C00029,Investment Fraud,Hyderabad,Telangana,17.385,78.4867,45248,12,Thursday,2026-05-21,ATM-HYD-05,Hyderabad,17.346458,78.464032,15,1.73,1
C00030,Online Shopping Fraud,Jaipur,Rajasthan,26.9124,75.7873,79824,0,Monday,2026-04-20,BANK-JAI-02,Jaipur,26.873105,75.856955,3,15.04,1
C00031,UPI Fraud,Bengaluru,Karnataka,12.9716,77.5946,186694,13,Tuesday,2026-07-14,CSC-BEN-05,Bengaluru,12.924718,77.598474,16,14.46,0
C00032,Investment Fraud,Lucknow,Uttar Pradesh,26.8467,80.9462,39603,11,Wednesday,2026-05-20,BANK-LUC-04,Lucknow,26.837567,80.939721,15,13.12,0
C00033,UPI Fraud,Jalandhar,Punjab,31.326,75.5762,30503,16,Tuesday,2026-07-21,CSC-JAL-04,Jalandhar,31.28292,75.515938,17,3.52,1
C00034,Investment Fraud,Noida,Uttar Pradesh,28.5355,77.391,41334,8,Friday,2026-08-21,CSC-NOI-04,Noida,28.529739,77.358083,12,0.64,1
C00035,Investment Fraud,Noida,Uttar Pradesh,28.5355,77.391,45354,20,Thursday,2026-02-05,BANK-NOI-01,Noida,28.474766,77.448839,21,10.28,1
C00036,Job Scam,Patna,Bihar,25.5941,85.1376,238007,2,Wednesday,2026-07-08,ATM-PAT-02,Patna,25.650859,85.187949,8,17.38,1
C00037,Job Scam,Amritsar,Punjab,31.634,74.8723,86693,10,Sunday,2026-07-12,CSC-AMR-03,Amritsar,31.688905,74.814471,12,15.35,0
C00038,UPI Fraud,Ludhiana,Punjab,30.901,75.8573,26658,15,Saturday,2026-06-27,BANK-LUD-04,Ludhiana,30.845309,75.84049,18,2.17,0
C00039,KYC Update Fraud,Hyderabad,Telangana,17.385,78.4867,157283,11,Friday,2026-03-20,ATM-HYD-05,Hyderabad,17.346458,78.464032,16,14.01,1
C00040,Job Scam,Patna,Bihar,25.5941,85.1376,45098,21,Monday,2026-06-15,BANK-PAT-04,Patna,25.554093,85.086124,22,10.39,0
C00041,UPI Fraud,Noida,Uttar Pradesh,28.5355,77.391,13226,21,Friday,2026-09-11,CSC-NOI-03,Noida,28.535392,77.444856,1,5.25,1
C00042,UPI Fraud,Delhi,Delhi,28.6139,77.209,122609,23,Tuesday,2026-09-22,CSC-DEL-02,Delhi,28.640243,77.169746,1,12.52,1
C00043,KYC Update Fraud,Lucknow,Uttar Pradesh,26.8467,80.9462,101921,1,Friday,2026-01-09,CSC-LUC-05,Lucknow,26.899319,80.913074,5,6.83,1
C00044,SIM Swap Fraud,Noida,Uttar Pradesh,28.5355,77.391,54079,9,Friday,2026-06-19,CSC-NOI-02,Noida,28.588191,77.365055,12,5.89,1
C00045,Online Shopping Fraud,Patna,Bihar,25.5941,85.1376,76211,3,Thursday,2026-04-09,ATM-PAT-01,Patna,25.623198,85.075842,6,15.04,1
C00046,Online Shopping Fraud,Noida,Uttar Pradesh,28.5355,77.391,90379,0,Thursday,2026-06-04,CSC-NOI-02,Noida,28.588191,77.365055,2,11.59,0
C00047,UPI Fraud,Ludhiana,Punjab,30.901,75.8573,201621,13,Tuesday,2026-05-26,ATM-LUD-01,Ludhiana,30.893889,75.826247,16,7.39,1
C00048,UPI Fraud,Hyderabad,Telangana,17.385,78.4867,37699,2,Thursday,2026-03-19,ATM-HYD-05,Hyderabad,17.346458,78.464032,5,13.83,1
C00049,Investment Fraud,Bengaluru,Karnataka,12.9716,77.5946,40480,10,Friday,2026-09-25,ATM-BEN-04,Bengaluru,12.919575,77.59114,14,5.71,0
C00050,Phishing,Bengaluru,Karnataka,12.9716,77.5946,37735,17,Friday,2026-04-17,CSC-BEN-05,Bengaluru,12.924718,77.598474,23,1.63,1
C00051,KYC Update Fraud,Lucknow,Uttar Pradesh,26.8467,80.9462,11401,0,Saturday,2026-05-30,CSC-LUC-01,Lucknow,26.897209,80.877807,6,12.47,0
C00052,Investment Fraud,Hyderabad,Telangana,17.385,78.4867,41192,1,Thursday,2026-08-06,CSC-HYD-02,Hyderabad,17.411581,78.516513,7,1.56,1
C00053,Job Scam,Delhi,Delhi,28.6139,77.209,73212,1,Thursday,2026-08-13,ATM-DEL-01,Delhi,28.608616,77.176793,4,10.89,0
C00054,Loan Scam,Patna,Bihar,25.5941,85.1376,189041,0,Saturday,2026-05-09,ATM-PAT-01,Patna,25.623198,85.075842,6,17.99,0
C00055,UPI Fraud,Delhi,Delhi,28.6139,77.209,134650,13,Tuesday,2026-03-31,ATM-DEL-04,Delhi,28.658952,77.251706,17,11.54,1
C00056,KYC Update Fraud,Ludhiana,Punjab,30.901,75.8573,41530,11,Sunday,2026-06-28,BANK-LUD-04,Ludhiana,30.845309,75.84049,17,12.58,1
C00057,UPI Fraud,Jaipur,Rajasthan,26.9124,75.7873,69683,1,Friday,2026-08-21,CSC-JAI-05,Jaipur,26.901502,75.726194,4,6.7,1
C00058,KYC Update Fraud,Hyderabad,Telangana,17.385,78.4867,182413,2,Tuesday,2026-01-27,CSC-HYD-06,Hyderabad,17.392549,78.499082,4,8.88,1
C00059,Investment Fraud,Hyderabad,Telangana,17.385,78.4867,63416,7,Monday,2026-03-23,BANK-HYD-01,Hyderabad,17.450011,78.546748,12,8.47,1
C00060,KYC Update Fraud,Jalandhar,Punjab,31.326,75.5762,36834,14,Saturday,2026-05-30,CSC-JAL-04,Jalandhar,31.28292,75.515938,18,3.67,1
C00061,Online Shopping Fraud,Patna,Bihar,25.5941,85.1376,29560,6,Thursday,2026-02-05,ATM-PAT-03,Patna,25.596082,85.106587,10,14.82,1
C00062,KYC Update Fraud,Delhi,Delhi,28.6139,77.209,31301,12,Wednesday,2026-03-18,ATM-DEL-04,Delhi,28.658952,77.251706,15,8.36,1
C00063,Investment Fraud,Chandigarh,Chandigarh,30.7333,76.7794,270169,4,Thursday,2026-07-16,BANK-CHA-04,Chandigarh,30.713038,76.803225,8,17.79,0
C00064,Online Shopping Fraud,Hyderabad,Telangana,17.385,78.4867,168815,23,Friday,2026-09-11,BANK-HYD-01,Hyderabad,17.450011,78.546748,4,15.77,1
C00065,KYC Update Fraud,Mumbai,Maharashtra,19.076,72.8777,115841,19,Thursday,2026-01-08,CSC-MUM-05,Mumbai,19.134589,72.891552,1,12.56,1
C00066,SIM Swap Fraud,Noida,Uttar Pradesh,28.5355,77.391,123442,17,Friday,2026-06-12,BANK-NOI-01,Noida,28.474766,77.448839,21,13.76,1
C00067,KYC Update Fraud,Ludhiana,Punjab,30.901,75.8573,49171,19,Friday,2026-03-27,ATM-LUD-02,Ludhiana,30.937233,75.809652,20,4.62,1
C00068,Online Shopping Fraud,Hyderabad,Telangana,17.385,78.4867,88376,2,Sunday,2026-03-29,ATM-HYD-05,Hyderabad,17.346458,78.464032,6,2.83,1
C00069,KYC Update Fraud,Delhi,Delhi,28.6139,77.209,35041,19,Monday,2026-05-11,BANK-DEL-03,Delhi,28.661899,77.24764,23,17.78,1
C00070,Job Scam,Jaipur,Rajasthan,26.9124,75.7873,58557,21,Saturday,2026-08-22,CSC-JAI-03,Jaipur,26.911492,75.82311,1,17.87,1
C00071,SIM Swap Fraud,Hyderabad,Telangana,17.385,78.4867,112431,0,Thursday,2026-05-21,BANK-HYD-03,Hyderabad,17.454321,78.507683,6,4.18,1
C00072,Online Shopping Fraud,Delhi,Delhi,28.6139,77.209,48517,22,Thursday,2026-02-19,BANK-DEL-03,Delhi,28.661899,77.24764,23,13.26,1
C00073,Loan Scam,Delhi,Delhi,28.6139,77.209,149178,2,Saturday,2026-08-01,BANK-DEL-03,Delhi,28.661899,77.24764,7,15.0,1
C00074,Job Scam,Lucknow,Uttar Pradesh,26.8467,80.9462,350878,21,Tuesday,2026-06-23,BANK-LUC-04,Lucknow,26.837567,80.939721,22,17.42,0
C00075,Phishing,Noida,Uttar Pradesh,28.5355,77.391,61947,0,Wednesday,2026-07-22,CSC-NOI-03,Noida,28.535392,77.444856,1,10.65,0
C00076,Phishing,Noida,Uttar Pradesh,28.5355,77.391,43057,13,Thursday,2026-04-30,BANK-NOI-01,Noida,28.474766,77.448839,18,11.55,1
C00077,Job Scam,Patna,Bihar,25.5941,85.1376,46026,1,Wednesday,2026-07-29,ATM-PAT-01,Patna,25.623198,85.075842,2,4.46,1
C00078,KYC Update Fraud,Jaipur,Rajasthan,26.9124,75.7873,183870,19,Thursday,2026-07-09,BANK-JAI-06,Jaipur,26.925824,75.782827,1,13.16,0
C00079,Phishing,Hyderabad,Telangana,17.385,78.4867,97922,17,Tuesday,2026-09-08,BANK-HYD-04,Hyderabad,17.440946,78.479908,18,17.12,0
C00080,Loan Scam,Ludhiana,Punjab,30.901,75.8573,112263,0,Friday,2026-07-03,ATM-LUD-02,Ludhiana,30.937233,75.809652,2,11.66,0
C00081,UPI Fraud,Amritsar,Punjab,31.634,74.8723,85595,4,Saturday,2026-06-20,ATM-AMR-02,Amritsar,31.583535,74.816649,9,6.12,1
C00082,UPI Fraud,Bengaluru,Karnataka,12.9716,77.5946,92937,21,Friday,2026-05-22,ATM-BEN-01,Bengaluru,12.90971,77.647521,23,12.0,1
C00083,Loan Scam,Amritsar,Punjab,31.634,74.8723,52962,16,Saturday,2026-05-02,BANK-AMR-04,Amritsar,31.56845,74.815417,18,9.61,0
C00084,KYC Update Fraud,Lucknow,Uttar Pradesh,26.8467,80.9462,79574,14,Sunday,2026-07-05,CSC-LUC-01,Lucknow,26.897209,80.877807,18,13.17,0
C00085,Job Scam,Hyderabad,Telangana,17.385,78.4867,66220,18,Sunday,2026-08-23,CSC-HYD-06,Hyderabad,17.392549,78.499082,19,16.4,1
C00086,Loan Scam,Ludhiana,Punjab,30.901,75.8573,104175,0,Tuesday,2026-03-17,BANK-LUD-03,Ludhiana,30.878635,75.809067,5,7.04,1
C00087,KYC Update Fraud,Delhi,Delhi,28.6139,77.209,19129,17,Wednesday,2026-09-16,CSC-DEL-02,Delhi,28.640243,77.169746,23,7.91,0
C00088,Loan Scam,Jaipur,Rajasthan,26.9124,75.7873,52710,10,Friday,2026-08-21,CSC-JAI-03,Jaipur,26.911492,75.82311,11,6.93,1
C00089,Phishing,Lucknow,Uttar Pradesh,26.8467,80.9462,170064,21,Monday,2026-02-16,CSC-LUC-05,Lucknow,26.899319,80.913074,1,17.23,1
C00090,Phishing,Hyderabad,Telangana,17.385,78.4867,47950,9,Thursday,2026-07-30,CSC-HYD-02,Hyderabad,17.411581,78.516513,13,3.04,1
C00091,Loan Scam,Ludhiana,Punjab,30.901,75.8573,41108,1,Wednesday,2026-07-08,BANK-LUD-05,Ludhiana,30.949649,75.871822,6,17.55,0
C00092,UPI Fraud,Bengaluru,Karnataka,12.9716,77.5946,58773,0,Sunday,2026-05-17,ATM-BEN-02,Bengaluru,12.913591,77.592639,6,10.32,1
C00093,UPI Fraud,Jalandhar,Punjab,31.326,75.5762,63192,20,Monday,2026-02-16,CSC-JAL-03,Jalandhar,31.342593,75.626839,0,5.82,1
C00094,Phishing,Bengaluru,Karnataka,12.9716,77.5946,64951,2,Tuesday,2026-01-27,CSC-BEN-05,Bengaluru,12.924718,77.598474,7,8.12,1
C00095,Phishing,Mumbai,Maharashtra,19.076,72.8777,111025,11,Friday,2026-06-26,BANK-MUM-06,Mumbai,19.008727,72.937774,17,5.76,1
C00096,UPI Fraud,Bengaluru,Karnataka,12.9716,77.5946,114284,2,Sunday,2026-01-04,ATM-BEN-01,Bengaluru,12.90971,77.647521,4,0.44,1
C00097,Online Shopping Fraud,Jalandhar,Punjab,31.326,75.5762,90439,15,Tuesday,2026-07-14,CSC-JAL-03,Jalandhar,31.342593,75.626839,20,1.58,0
C00098,SIM Swap Fraud,Amritsar,Punjab,31.634,74.8723,90514,12,Saturday,2026-01-10,ATM-AMR-06,Amritsar,31.664243,74.900485,15,11.63,1
C00099,UPI Fraud,Jaipur,Rajasthan,26.9124,75.7873,34553,2,Tuesday,2026-06-16,CSC-JAI-05,Jaipur,26.901502,75.726194,6,1.69,1
C00100,Loan Scam,Patna,Bihar,25.5941,85.1376,74176,8,Friday,2026-04-24,ATM-PAT-02,Patna,25.650859,85.187949,9,16.33,0
C00101,Online Shopping Fraud,Patna,Bihar,25.5941,85.1376,46035,1,Friday,2026-05-01,ATM-PAT-01,Patna,25.623198,85.075842,3,3.44,0
C00102,KYC Update Fraud,Lucknow,Uttar Pradesh,26.8467,80.9462,49310,19,Tuesday,2026-08-18,BANK-LUC-04,Lucknow,26.837567,80.939721,0,8.13,1
C00103,UPI Fraud,Delhi,Delhi,28.6139,77.209,68787,14,Tuesday,2026-06-30,BANK-DEL-03,Delhi,28.661899,77.24764,18,1.66,0
C00104,SIM Swap Fraud,Ludhiana,Punjab,30.901,75.8573,173500,16,Tuesday,2026-08-25,BANK-LUD-05,Ludhiana,30.949649,75.871822,22,11.84,1
C00105,Online Shopping Fraud,Lucknow,Uttar Pradesh,26.8467,80.9462,87783,12,Sunday,2026-02-01,BANK-LUC-04,Lucknow,26.837567,80.939721,15,17.84,0
C00106,Online Shopping Fraud,Bengaluru,Karnataka,12.9716,77.5946,61970,10,Monday,2026-07-06,CSC-BEN-05,Bengaluru,12.924718,77.598474,14,1.23,0
C00107,Phishing,Noida,Uttar Pradesh,28.5355,77.391,28616,1,Thursday,2026-06-18,ATM-NOI-05,Noida,28.569798,77.396457,5,15.76,1
C00108,Online Shopping Fraud,Bengaluru,Karnataka,12.9716,77.5946,91448,7,Monday,2026-06-29,ATM-BEN-01,Bengaluru,12.90971,77.647521,13,5.78,1
C00109,Online Shopping Fraud,Noida,Uttar Pradesh,28.5355,77.391,73893,1,Sunday,2026-09-27,CSC-NOI-03,Noida,28.535392,77.444856,5,3.49,1
C00110,Investment Fraud,Lucknow,Uttar Pradesh,26.8467,80.9462,22985,23,Sunday,2026-04-26,CSC-LUC-05,Lucknow,26.899319,80.913074,0,13.94,0
C00111,UPI Fraud,Mumbai,Maharashtra,19.076,72.8777,83958,22,Monday,2026-06-22,CSC-MUM-02,Mumbai,19.047782,72.897153,0,15.01,1
C00112,KYC Update Fraud,Jalandhar,Punjab,31.326,75.5762,41477,11,Friday,2026-01-23,CSC-JAL-03,Jalandhar,31.342593,75.626839,17,13.62,0
C00113,Investment Fraud,Chandigarh,Chandigarh,30.7333,76.7794,133505,23,Monday,2026-06-08,CSC-CHA-06,Chandigarh,30.752197,76.78418,3,17.06,0
C00114,Job Scam,Lucknow,Uttar Pradesh,26.8467,80.9462,40987,14,Wednesday,2026-07-15,BANK-LUC-04,Lucknow,26.837567,80.939721,16,15.77,0
C00115,Phishing,Ludhiana,Punjab,30.901,75.8573,64533,1,Tuesday,2026-05-26,BANK-LUD-04,Ludhiana,30.845309,75.84049,4,1.92,0
C00116,Loan Scam,Lucknow,Uttar Pradesh,26.8467,80.9462,57149,11,Wednesday,2026-01-14,CSC-LUC-01,Lucknow,26.897209,80.877807,16,6.94,1
C00117,Loan Scam,Ludhiana,Punjab,30.901,75.8573,96124,2,Monday,2026-03-16,BANK-LUD-04,Ludhiana,30.845309,75.84049,6,8.24,1
C00118,UPI Fraud,Ludhiana,Punjab,30.901,75.8573,282558,3,Tuesday,2026-05-12,BANK-LUD-04,Ludhiana,30.845309,75.84049,8,2.27,1
C00119,Phishing,Delhi,Delhi,28.6139,77.209,69014,4,Sunday,2026-01-25,ATM-DEL-04,Delhi,28.658952,77.251706,9,10.86,1
C00120,Investment Fraud,Mumbai,Maharashtra,19.076,72.8777,48451,6,Sunday,2026-03-15,CSC-MUM-02,Mumbai,19.047782,72.897153,11,12.06,1
C00121,Phishing,Noida,Uttar Pradesh,28.5355,77.391,81363,15,Sunday,2026-09-27,CSC-NOI-04,Noida,28.529739,77.358083,20,1.07,1
C00122,Job Scam,Noida,Uttar Pradesh,28.5355,77.391,29536,9,Friday,2026-01-09,BANK-NOI-01,Noida,28.474766,77.448839,12,13.96,0
C00123,Online Shopping Fraud,Noida,Uttar Pradesh,28.5355,77.391,63610,9,Friday,2026-01-23,CSC-NOI-02,Noida,28.588191,77.365055,15,14.66,1
C00124,UPI Fraud,Lucknow,Uttar Pradesh,26.8467,80.9462,143906,2,Sunday,2026-05-31,BANK-LUC-03,Lucknow,26.884304,80.923825,4,9.42,0
C00125,KYC Update Fraud,Mumbai,Maharashtra,19.076,72.8777,11348,0,Sunday,2026-05-10,ATM-MUM-01,Mumbai,19.077075,72.822598,2,15.62,1
C00126,Loan Scam,Ludhiana,Punjab,30.901,75.8573,158363,22,Wednesday,2026-08-12,ATM-LUD-02,Ludhiana,30.937233,75.809652,2,9.08,1
C00127,Job Scam,Mumbai,Maharashtra,19.076,72.8777,146169,19,Thursday,2026-02-12,CSC-MUM-05,Mumbai,19.134589,72.891552,23,5.5,1
C00128,Job Scam,Noida,Uttar Pradesh,28.5355,77.391,35600,12,Saturday,2026-06-06,CSC-NOI-04,Noida,28.529739,77.358083,16,1.05,0
C00129,SIM Swap Fraud,Noida,Uttar Pradesh,28.5355,77.391,17893,18,Thursday,2026-05-21,CSC-NOI-03,Noida,28.535392,77.444856,19,9.38,1
C00130,UPI Fraud,Jalandhar,Punjab,31.326,75.5762,123972,21,Sunday,2026-03-15,CSC-JAL-04,Jalandhar,31.28292,75.515938,1,17.11,1
C00131,KYC Update Fraud,Jalandhar,Punjab,31.326,75.5762,88314,9,Thursday,2026-07-09,CSC-JAL-04,Jalandhar,31.28292,75.515938,10,5.86,1
C00132,UPI Fraud,Ludhiana,Punjab,30.901,75.8573,99903,13,Monday,2026-04-06,BANK-LUD-05,Ludhiana,30.949649,75.871822,18,5.35,0
C00133,Investment Fraud,Lucknow,Uttar Pradesh,26.8467,80.9462,18556,1,Wednesday,2026-03-04,CSC-LUC-01,Lucknow,26.897209,80.877807,5,14.65,0
C00134,Loan Scam,Noida,Uttar Pradesh,28.5355,77.391,316190,15,Tuesday,2026-02-03,CSC-NOI-02,Noida,28.588191,77.365055,18,14.35,0
C00135,Investment Fraud,Ludhiana,Punjab,30.901,75.8573,49486,4,Friday,2026-03-13,BANK-LUD-04,Ludhiana,30.845309,75.84049,5,14.52,0
C00136,Phishing,Bengaluru,Karnataka,12.9716,77.5946,70018,7,Tuesday,2026-02-03,ATM-BEN-04,Bengaluru,12.919575,77.59114,13,14.87,1
C00137,Phishing,Noida,Uttar Pradesh,28.5355,77.391,84919,12,Wednesday,2026-08-19,CSC-NOI-02,Noida,28.588191,77.365055,15,7.96,0
C00138,Phishing,Amritsar,Punjab,31.634,74.8723,35148,2,Wednesday,2026-09-23,CSC-AMR-03,Amritsar,31.688905,74.814471,4,17.07,1
C00139,Phishing,Delhi,Delhi,28.6139,77.209,38344,2,Saturday,2026-05-09,ATM-DEL-01,Delhi,28.608616,77.176793,5,9.2,1
C00140,Online Shopping Fraud,Bengaluru,Karnataka,12.9716,77.5946,113845,18,Sunday,2026-03-29,ATM-BEN-02,Bengaluru,12.913591,77.592639,23,13.88,1
C00141,UPI Fraud,Hyderabad,Telangana,17.385,78.4867,93356,22,Saturday,2026-09-12,CSC-HYD-02,Hyderabad,17.411581,78.516513,1,14.54,1
C00142,KYC Update Fraud,Delhi,Delhi,28.6139,77.209,60524,19,Saturday,2026-02-07,BANK-DEL-03,Delhi,28.661899,77.24764,23,11.04,1
C00143,Loan Scam,Patna,Bihar,25.5941,85.1376,74617,23,Friday,2026-06-26,ATM-PAT-02,Patna,25.650859,85.187949,2,8.56,1
C00144,Online Shopping Fraud,Chandigarh,Chandigarh,30.7333,76.7794,46954,0,Thursday,2026-02-19,CSC-CHA-05,Chandigarh,30.794432,76.800125,5,8.56,0
C00145,UPI Fraud,Lucknow,Uttar Pradesh,26.8467,80.9462,60714,23,Monday,2026-02-16,BANK-LUC-04,Lucknow,26.837567,80.939721,3,10.88,0
C00146,KYC Update Fraud,Hyderabad,Telangana,17.385,78.4867,36110,15,Wednesday,2026-05-27,CSC-HYD-06,Hyderabad,17.392549,78.499082,16,6.77,1
C00147,SIM Swap Fraud,Amritsar,Punjab,31.634,74.8723,78353,16,Tuesday,2026-01-27,ATM-AMR-05,Amritsar,31.63475,74.806015,19,8.27,1
C00148,Phishing,Bengaluru,Karnataka,12.9716,77.5946,124969,23,Saturday,2026-03-07,ATM-BEN-03,Bengaluru,13.038518,77.599179,2,13.66,1
C00149,SIM Swap Fraud,Mumbai,Maharashtra,19.076,72.8777,270607,0,Monday,2026-09-14,CSC-MUM-05,Mumbai,19.134589,72.891552,2,8.39,1
C00150,Online Shopping Fraud,Mumbai,Maharashtra,19.076,72.8777,52302,22,Wednesday,2026-06-17,CSC-MUM-03,Mumbai,19.033848,72.860048,0,10.81,0
C00151,KYC Update Fraud,Mumbai,Maharashtra,19.076,72.8777,58243,13,Wednesday,2026-06-03,ATM-MUM-04,Mumbai,19.081513,72.916708,16,10.63,0
C00152,UPI Fraud,Patna,Bihar,25.5941,85.1376,102194,5,Monday,2026-08-31,BANK-PAT-04,Patna,25.554093,85.086124,10,3.32,1
C00153,SIM Swap Fraud,Bengaluru,Karnataka,12.9716,77.5946,97830,21,Tuesday,2026-03-17,ATM-BEN-02,Bengaluru,12.913591,77.592639,22,0.64,1
C00154,SIM Swap Fraud,Jalandhar,Punjab,31.326,75.5762,98915,11,Wednesday,2026-04-15,BANK-JAL-02,Jalandhar,31.267032,75.547245,16,9.48,1
C00155,KYC Update Fraud,Hyderabad,Telangana,17.385,78.4867,155206,10,Sunday,2026-09-27,BANK-HYD-03,Hyderabad,17.454321,78.507683,14,12.26,0
C00156,Job Scam,Hyderabad,Telangana,17.385,78.4867,80016,2,Saturday,2026-09-05,BANK-HYD-03,Hyderabad,17.454321,78.507683,5,13.95,0
C00157,KYC Update Fraud,Patna,Bihar,25.5941,85.1376,53647,13,Friday,2026-06-12,BANK-PAT-04,Patna,25.554093,85.086124,19,16.15,1
C00158,Online Shopping Fraud,Noida,Uttar Pradesh,28.5355,77.391,52529,0,Friday,2026-05-29,CSC-NOI-03,Noida,28.535392,77.444856,1,13.53,1
C00159,Job Scam,Mumbai,Maharashtra,19.076,72.8777,83922,2,Wednesday,2026-05-20,BANK-MUM-06,Mumbai,19.008727,72.937774,8,16.32,1
C00160,UPI Fraud,Chandigarh,Chandigarh,30.7333,76.7794,174350,11,Saturday,2026-02-21,BANK-CHA-04,Chandigarh,30.713038,76.803225,15,8.75,1
C00161,Loan Scam,Delhi,Delhi,28.6139,77.209,92800,18,Wednesday,2026-05-27,ATM-DEL-01,Delhi,28.608616,77.176793,19,16.46,1
C00162,UPI Fraud,Jalandhar,Punjab,31.326,75.5762,80131,20,Thursday,2026-07-23,CSC-JAL-03,Jalandhar,31.342593,75.626839,2,5.34,0
